467,334,500,169,724
0,0,0,0,0
0,0,0,0,0
464,705,145,281,0
961,491,995,0,0
827,436,0,0,0
604,902,153,0,0
382,421,716,718,0
447,726,771,538,869
667,299,35,894,0
811,322,333,673,664
711,253,868,0,0
644,662,757,37,859
741,529,778,316,35
842,288,0,0,0
40,942,264,648,0
805,890,0,0,0
370,350,6,0,0
393,548,629,0,0
84,954,756,840,966
931,308,0,0,0
0,0,0,0,0
626,323,537,0,0
118,82,929,541,0
115,639,658,0,0
0,0,0,0,0
0,0,0,0,0
306,673,386,0,0
745,924,72,270,829
573,97,512,986,290
636,355,767,655,574
52,350,150,941,724
430,107,191,7,0
457,287,753,0,0
945,909,209,0,0
221,588,0,0,0
946,506,0,0,0
413,168,900,591,0
0,0,0,0,0
410,359,624,537,548
595,41,602,0,0
291,836,0,0,0
20,596,0,0,0
348,199,668,0,0
281,734,53,999,0
0,0,0,0,0
900,788,0,0,0
467,0,0,0,0
893,648,0,0,0
807,0,0,0,0
310,617,813,0,0
309,616,935,451,0
249,519,0,0,0
798,303,0,0,0
8,844,0,0,0
989,702,195,485,93
523,587,314,0,0
448,200,458,618,580
798,281,0,0,0
798,9,157,472,622
292,38,179,190,0
958,191,815,888,156
202,634,272,0,0
328,646,362,0,0
875,433,0,0,0
142,0,0,0,0
0,0,0,0,0
0,0,0,0,0
998,322,651,21,699
476,892,389,75,712
510,3,0,0,0
861,0,0,0,0
0,0,0,0,0
789,255,423,0,0
585,182,285,88,0
617,757,832,932,0
154,721,189,976,329
692,425,555,434,0
441,0,0,0,0
145,60,0,0,0
753,139,423,279,0
687,529,549,437,0
